[Wed Nov 26 13:08:57.881766 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.046145 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.046145 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.046145 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.046145 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.063705 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.063705 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.063705 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.063705 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.070773 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.070773 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.072304 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.072304 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.093225 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.093225 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.093225 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.096240 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.169056 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.170085 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.170085 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.170085 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.212233 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.212233 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.212233 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.212233 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.320857 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.320857 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.320857 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.320857 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.348554 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.349262 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.349262 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:02.349262 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.263665 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.263665 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.264087 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.264087 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.266511 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.266511 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.266511 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.266511 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.293336 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.293336 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.293336 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.293336 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.298908 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.298908 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.298908 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.298908 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.386836 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.386836 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.386836 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.386836 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.424355 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.424355 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.424355 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.424355 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.529806 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.529806 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.529806 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.532893 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.558565 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:09:03.558565 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
